Year,AT&T,AXA,Allianz,Amazon,Apple,BP,Bank of America,Berkshire Hathaway,CVS Health,Chevron,China National Petroleum,Citigroup,ConocoPhillips,Daimler,E.ON,Enron,Exxon,Exxon Mobil,Fannie Mae,Ford Motor,Fortis,Gazprom,General Electric,General Motors,Glencore,Hitachi,IBM,ING Group,Industrial & Commercial Bank of China,Itochu,Japan Post Holdings,Marubeni,McKesson,Mitsubishi,Mitsui,NTT,Nippon Life Insurance,Nissho Iwai,Royal Dutch Shell,Samsung Electronics,Saudi Aramco,Sinopec Group,State Grid,Sumitomo,Total,Toyota Motor,UnitedHealth Group,Volkswagen,Walmart
1995,75094,22426,40415,0,9189,50737,13126,0,11286,31064,0,31650,12367,64169,40072,8984,101459,0,18572,128439,19306,0,64687,154951,0,76431,64052,26926,0,167825,18175,150187,13189,175836,171490,70844,75350,100876,94881,14578,0,0,0,162476,24653,88159,0,49350,83412
1996,79609,26173,46045,0,11062,56982,16298,0,11516,32094,0,31690,13521,72256,46280,9189,110009,0,22246,137137,22695,0,70028,168829,0,84167,71940,33416,0,169165,22498,161057,13719,184365,181519,81937,83207,97886,109834,24151,0,0,0,167531,27226,111052,0,61489,93627
1997,74525,32681,56577,0,9833,69852,17509,10500,0,38691,0,32605,15807,71589,45246,13289,119434,0,25054,146991,22646,22554,79179,168369,0,75669,75947,35912,0,135542,23689,124027,13479,140204,144943,78321,72575,78921,128174,24710,0,0,0,119281,34513,108702,10074,66528,106147
1998,53261,76874,56785,0,0,71194,21734,10430,13086,36376,0,34697,15424,71561,43881,20273,122379,0,27777,153627,23796,23948,90840,178174,0,68567,78508,38674,0,126632,20741,111121,20857,128922,142688,76984,71388,81894,128142,23810,0,0,0,102395,32741,95137,11794,65328,119299
1999,53588,78729,64875,0,0,68304,50777,13832,15274,26801,0,76431,11845,154615,43408,31260,100697,0,31499,144416,31325,16220,100469,161315,0,62410,81667,56469,21830,108749,18849,93569,20857,107184,109373,76119,66300,67742,93692,18394,0,34025,0,89021,27059,99740,17355,76307,139208
2000,62391,87646,74178,0,0,83566,51392,24028,18098,32676,0,82005,13852,159986,52228,40112,0,163881,36969,162558,43660,12300,111630,176558,0,71858,87548,62492,20130,109069,17497,91807,37100,117766,118555,93592,78515,65393,105366,26992,0,41883,36076,95702,44990,115671,19562,80073,166809
2001,65981,92782,71022,0,0,148062,57747,33976,20088,48069,41684,111826,21227,150070,68433,100789,0,210392,44089,180598,43831,17689,129853,184632,0,76127,88396,71196,22070,109756,20152,85351,42010,126579,118014,103235,68055,58557,149146,38491,0,45346,42549,91168,105870,121416,21122,78852,193295
2002,59142,65580,85929,0,0,174218,52641,37668,22241,99699,41499,112022,24189,136897,66453,138718,0,191581,50803,162412,40529,20148,125913,177260,0,63931,85866,82999,19828,91177,20281,71757,50006,105814,101206,93425,63827,43703,135211,35969,0,40388,48374,77140,94312,120814,23454,79287,219812
2003,31179,62051,101930,0,0,178721,45732,42353,24182,92043,44864,100789,58384,141421,44941,0,0,182466,52901,163871,43598,19552,131698,186763,0,67228,83132,88102,19528,85856,0,72165,57129,109386,108631,89644,61174,37908,179431,47606,0,44503,0,75745,96945,131754,25020,82204,246525
2004,25612,111912,114950,0,0,232571,48065,63859,26588,112937,56384,94713,99468,156602,48709,0,0,222883,53767,164505,56695,27526,134187,195324,0,76423,89131,95893,20757,15393,17431,24560,69506,14116,26385,98229,63841,0,201728,54400,0,55062,58348,15126,118441,153111,28823,98637,263009
2005,30537,121606,118937,0,0,285059,63324,74382,30594,147967,67724,108276,121663,176688,55652,0,0,270772,0,172233,75518,35090,152866,193517,0,83994,96293,105886,23445,18528,18006,28274,80515,32735,32806,100545,60521,0,268690,71556,0,75077,71290,19068,152610,172616,37218,110649,287989
2006,43862,129839,121406,0,13931,267600,83980,81663,37006,189481,83556,131045,166683,186106,66313,0,0,339938,0,177210,112351,50824,157153,192604,0,83596,91134,138235,29167,19592,17000,27732,88050,42633,36349,94869,61158,0,306731,78717,0,98785,86984,22800,152361,185805,45365,118377,315654
2007,118928,162762,140618,0,24006,291438,119190,118245,76330,210783,129798,159229,178558,177167,94356,0,0,372824,43355,172468,164877,98642,176656,182347,0,98306,98786,201516,51526,25054,0,36481,101703,52808,50252,93527,57859,0,355782,106006,0,159260,132885,32144,187280,230201,75431,149054,378799
2008,118928,162762,140618,0,24006,291438,119190,118245,76330,210783,129798,159229,178558,177167,94356,0,0,372824,43355,172468,164877,98642,176656,182347,0,98306,98786,201516,51526,25054,0,36481,101703,52808,50252,93527,57859,0,355782,106006,0,159260,132885,32144,187280,230201,75431,149054,378799
2009,124028,80257,142395,19166,32479,367053,113106,107786,87472,263159,181123,112372,230764,140328,127278,0,0,442851,22652,146277,0,141455,183207,148979,0,99544,103630,226577,70568,34034,198700,39839,106632,61182,55098,103684,66621,0,458361,110350,0,207814,164136,34954,234674,204352,81186,166579,405607
2010,123018,175257,125999,24509,36537,246138,150450,112493,98729,163527,165496,108785,139515,109700,113849,0,0,284650,29065,118308,0,94472,156779,104589,0,96593,95758,163204,69295,36798,202196,35326,108702,48913,44120,109656,72051,0,285129,108927,0,187518,184496,31063,155887,204106,87138,146205,408214
2011,124629,162236,127379,34204,65225,308928,134194,136185,96413,196337,240192,111055,184966,129481,125064,0,0,354674,153825,128954,0,118657,151628,135592,144978,108766,99870,147052,80501,42612,203958,43011,112084,60793,54635,120316,78571,0,378152,133780,0,273422,226294,36218,186055,221760,94155,168041,421849
2012,126723,142712,134168,48077,108249,386463,115074,143688,107750,245621,352338,102939,237272,148139,157057,0,0,452926,137451,136264,0,157830,147616,150276,186152,122419,106916,150571,109040,54093,211019,55604,122734,70492,66512,133077,90782,0,484489,148944,0,375214,259142,41301,231580,235364,101862,221550,446950
2013,127434,154571,130775,61093,156508,388285,100078,162463,123133,233899,408630,90769,63373,146886,169756,0,0,449886,127230,134252,0,153528,146874,152256,214436,108874,104507,128350,133636,55150,190859,58541,122455,71877,59147,128861,86720,0,481700,178555,0,428167,298449,36322,234278,265702,110618,247613,469162
2014,128752,165893,134636,74452,170910,396217,101697,182150,126761,220356,432007,93629,59433,156628,162560,0,0,407666,125696,146917,0,165016,146231,155427,232694,95988,99751,114295,148802,55209,152125,70429,138030,75755,57302,109054,68168,0,459599,208938,0,457201,333386,33114,227882,256454,122489,261539,476294
2015,132447,161173,136846,88988,182795,358678,95181,194673,139367,203784,428620,90646,55997,172279,151460,0,0,382597,116461,144077,0,144408,148321,155929,221073,88786,94128,87990,163046,50855,129686,71254,181241,69755,49158,100875,67396,0,431344,195845,0,446811,339426,34218,212018,247702,130474,268566,485651
2016,146801,129250,122948,107006,233715,225982,93056,210821,153290,131118,299271,88275,30935,165800,129277,0,0,246204,110359,149558,0,99464,140389,152356,170497,83584,82461,66206,167227,42345,118762,60810,192487,57689,39647,96134,67118,0,272156,177440,0,294344,329601,33409,143421,236592,157107,236600,482130
2017,163786,143722,122196,135987,215639,186606,93662,223604,177526,107567,262573,82386,24360,169483,42213,0,0,205004,107162,151800,0,91382,126661,166380,173883,84558,79919,55282,147675,44654,122990,65792,198533,59303,40275,105128,67388,0,240033,173957,0,267518,315199,36888,127925,254694,184840,240264,485873
2018,160546,149461,123532,177866,229234,244582,100264,242137,184765,134533,326008,87966,32584,185235,42795,0,0,244363,112394,156776,0,111983,122274,157311,205476,84559,79139,56347,153021,49732,116616,68057,208357,68301,44155,106500,68684,0,311870,211940,0,326953,348903,43570,149099,265172,201159,260028,500343
2019,170756,125578,126800,232887,265595,303738,110584,247837,194579,166339,392977,97120,38727,197515,35704,0,0,290212,120101,160338,0,131302,120268,147049,219754,85508,79591,39598,168979,104627,115220,66754,214319,145243,62751,107147,74202,0,396556,221579,355905,414650,387056,48156,184106,272612,226247,278342,514405
2020,181193,148984,130359,280522,260174,282616,113589,254616,256776,146516,379130,103449,36670,193346,46861,0,0,264938,120304,155900,0,118009,95214,137237,215111,80639,77147,36990,177069,100522,109915,62799,231051,135940,63327,109448,74048,0,352106,197705,329784,407009,383906,48746,176249,275288,242155,282760,523964
